date,Tickr added,Tickr removed
2025-09-22,DBK.DE,NOKIA.HE
2025-09-22,ENR.DE,STLAM.MI
2025-09-22,ARGX.BR,RI.PA
2024-09-23,BNR.DE,ENI.MI
2024-03-18,RMS.PA,SAN.MC
2023-09-18,STMPA.PA,VOW3.DE
2023-03-20,ADS.DE,BBVA.MC
2022-09-19,BBVA.MC,STLAM.MI
2022-03-21,STLAM.MI,VIE.PA
2021-09-20,MBG.DE,BBVA.MC
2021-03-22,BBVA.MC,ENI.MI
2020-09-21,FLTR.IR,ADS.DE
2020-03-23,ENI.MI,BBVA.MC
2019-09-23,ADS.DE,SAN.PA
2019-03-18,SAN.PA,ENGI.PA
2018-09-24,ENGI.PA,VIV.PA
2018-03-19,VIV.PA,BBVA.MC
2017-09-18,DSY.PA,BBVA.MC
2017-03-20,BBVA.MC,VIE.PA
2016-09-19,VIE.PA,CS.PA
2016-03-21,CS.PA,TEF.MC
2015-09-21,PHIA.AS,ENEL.MI
2015-03-23,SAN.MC,BBVA.MC
2014-09-22,AIR.PA,STM.MI
2014-03-24,BNR.DE,RNO.PA
2013-09-23,ZURN.SW,
2013-03-18,EL.PA,TEF.MC
2012-09-24,ABI.BR,DBK.DE
2012-03-19,DBK.DE,CS.PA
2011-09-19,IFX.DE,STM.MI
2011-03-21,STM.MI,NOKIA.HE
2010-09-20,NOKIA.HE,DTE.DE
2010-03-22,DTE.DE,MBG.DE
2009-09-21,GLE.PA,NOKIA.HE
2009-03-23,NOKIA.HE,SAN.PA
2008-09-22,CRH.IR,MBG.DE
2008-03-24,MBG.DE,ALV.DE
2007-09-24,VINCI.PA,ENEL.MI
2007-03-19,ENEL.MI,ISP.MI
2006-09-18,SAN.MC,FTE.PA
2006-03-20,ISP.MI,STM.MI
2005-09-19,EDF.PA,STM.MI
2005-03-21,FTE.PA,ORAN.PA
2004-09-20,STM.MI,AXA.PA
2004-03-22,AXA.PA,SAN.PA
2003-09-22,SAN.PA,VIV.PA
2002-09-23,VIV.PA,ALSTOM.PA
2002-03-18,ALSTOM.PA,TEF.MC
2001-09-24,TEF.MC,DTE.DE
2000-09-18,STM.MI,NOKIA.HE
2000-03-20,NOKIA.HE,EDF.PA
