ticker,fecha_entrada,peso_objetivo,precio_entrada_ref,precio_entrada_real,unidades
cash,2026-03-12,1.0,10000000.0,10000000.0,1845.7025000001304
ASML.AS,2026-03-12,0.06666666666666667,1180.4000244140625,,564.0
ENR.DE,2026-03-12,0.06666666666666667,152.64999389648438,,4362.0
BBVA.MC,2026-03-12,0.06666666666666667,18.184999465942383,,36623.0
ADS.DE,2026-03-12,0.06666666666666667,141.1999969482422,,4716.0
PRX.AS,2026-03-12,0.06666666666666667,45.43000030517578,,14659.0
SAP.DE,2026-03-12,0.06666666666666667,167.02000427246094,,3987.0
EL.PA,2026-03-12,0.06666666666666667,210.8000030517578,,3159.0
RACE.MI,2026-03-12,0.06666666666666667,292.6000061035156,,2276.0
WKL.AS,2026-03-12,0.06666666666666667,67.13999938964844,,9919.0
BAYN.DE,2026-03-12,0.06666666666666667,39.130001068115234,,17020.0
ADYEN.AS,2026-03-12,0.06666666666666667,917.2999877929688,,726.0
DBK.DE,2026-03-12,0.06666666666666667,25.704999923706055,,25909.0
RHM.DE,2026-03-12,0.06666666666666667,1550.5,,429.0
ARGX.BR,2026-03-12,0.06666666666666667,616.0,,1081.0
AIR.PA,2026-03-12,0.06666666666666667,172.0399932861328,,3871.0
